CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      992.650   289.600    52.094     2.791    28.113     0.259  9000.000  9000.000   290.210   305.100     0.00621
 0.4      981.100   288.600    54.837     2.716    27.686     0.513  9000.000  9000.000   290.170   305.080     0.00620
 0.5      969.530   287.670    57.452     2.800    28.880     0.775  9000.000  9000.000   290.220   305.150     0.00619
 0.6      958.100   286.650    60.000     2.700    28.181     1.029  9000.000  9000.000   290.170   304.980     0.00612
 0.7      946.830   285.800    63.196     2.610    27.564     1.274  9000.000  9000.000   290.280   305.260     0.00616
 0.8      935.510   284.760    67.945     2.700    28.861     1.530  9000.000  9000.000   290.220   305.480     0.00626
