CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19960913 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.751
Integrated O3 until EOF (DU)     : 254.379
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      990.440   288.620    75.195     2.410     24.330    0.225  9000.000  9000.000   289.410   309.630     0.00843
 0.4      978.840   287.730    78.800     2.400     24.519    0.449  9000.000  9000.000   289.490   309.790     0.00844
 0.5      967.420   287.160    79.000     2.500     25.842    0.684  9000.000  9000.000   289.880   309.800     0.00825
 0.6      956.050   286.670    76.613     2.400     25.103    0.909  9000.000  9000.000   290.370   309.360     0.00784
 0.7      944.730   286.050    75.667     2.500     26.462    1.145  9000.000  9000.000   290.720   309.000     0.00752
 0.8      933.510   285.160    80.935     2.500     26.781    1.381  9000.000  9000.000   290.800   309.520     0.00767
 0.9      922.430   284.370    85.250     2.500     27.102    1.617  9000.000  9000.000   290.980   309.970     0.00775
 1.0      911.420   283.670    89.278     2.472     27.125    1.852  9000.000  9000.000   291.260   310.540     0.00784
 1.1      900.570   282.840    93.000     2.490     27.653    2.089  9000.000  9000.000   291.400   310.690     0.00782
 1.2      889.750   282.480    93.000     2.400     26.974    2.318  9000.000  9000.000   292.040   311.170     0.00772
 1.3      879.110   282.160    93.000     2.353     26.762    2.542  9000.000  9000.000   292.700   311.700     0.00765
 1.4      868.590   281.630    93.000     2.300     26.480    2.762  9000.000  9000.000   293.170   311.800     0.00747
 1.5      858.230   281.200    93.000     2.300     26.799    2.983  9000.000  9000.000   293.720   312.090     0.00734
 1.6      847.870   280.790    92.000     2.300     27.127    3.203  9000.000  9000.000   294.300   312.250     0.00714
 1.7      837.610   280.270    91.000     2.300     27.459    3.424  9000.000  9000.000   294.780   312.190     0.00690
 1.8      827.500   280.460    42.857     2.754     33.284    3.689  9000.000  9000.000   296.010   304.450     0.00332
 1.9      817.500   281.640    29.789     3.147     38.500    3.989  9000.000  9000.000   298.280   304.790     0.00254
 2.0      807.710   282.360    21.818     3.306     40.931    4.305  9000.000  9000.000   300.060   305.160     0.00198
 2.1      798.020   283.270    16.833     3.500     43.859    4.637  9000.000  9000.000   302.070   306.340     0.00165
 2.2      788.420   283.530    13.000     3.600     45.661    4.979  9000.000  9000.000   303.390   306.820     0.00131
 2.3      778.960   283.380     9.700     3.530     45.317    5.315  9000.000  9000.000   304.280   306.870     0.00098
 2.4      769.640   283.030     6.219     3.600     46.775    5.657  9000.000  9000.000   304.940   306.620     0.00062
 2.5      760.460   283.210     4.806     3.419     44.966    5.982  9000.000  9000.000   306.180   307.540     0.00049
 2.6      751.370   284.070     4.343     3.700     49.243    6.333  9000.000  9000.000   308.160   309.490     0.00048
 2.7      742.420   283.730     7.059     3.700     49.837    6.684  9000.000  9000.000   308.850   310.940     0.00077
 2.8      733.470   283.250     8.861     3.700     50.445    7.036  9000.000  9000.000   309.400   311.960     0.00094
 2.9      724.680   282.960     7.059     3.700     51.057    7.388  9000.000  9000.000   310.140   312.200     0.00075
 3.0      715.990   282.260     7.000     3.700     51.677    7.741  9000.000  9000.000   310.440   312.420     0.00071
 3.1      707.350   281.850     6.595     3.670     51.888    8.092  9000.000  9000.000   311.060   312.920     0.00066
 3.2      698.860   282.000     1.000     3.800     54.374    8.454  9000.000  9000.000   312.300   312.690     0.00010
 3.3      690.380   281.760     4.000     3.653     52.909    8.804  9000.000  9000.000   313.120   314.320     0.00041
 3.4      682.080   280.960     6.000     3.469     50.862    9.136  9000.000  9000.000   313.310   315.000     0.00059
 3.5      673.820   280.240     7.031     3.400     50.459    9.463  9000.000  9000.000   313.600   315.500     0.00066
 3.6      665.620   279.490     9.000     3.300     49.578    9.781  9000.000  9000.000   313.850   316.170     0.00082
 3.7      657.650   278.680     9.000     3.200     48.658   10.090  9000.000  9000.000   314.010   316.250     0.00078
 3.8      649.590   277.940     9.641     3.064     47.170   10.387  9000.000  9000.000   314.280   316.600     0.00080
 3.9      641.660   277.170    10.000     2.805     43.719   10.659  9000.000  9000.000   314.500   316.810     0.00080
 4.0      633.810   276.390    10.882     2.512     39.630   10.904  9000.000  9000.000   314.720   317.130     0.00083
 4.1      625.980   275.790    11.000     2.300     36.742   11.128  9000.000  9000.000   315.160   317.540     0.00082
 4.2      618.290   275.150    11.000     2.433     39.342   11.366  9000.000  9000.000   315.540   317.860     0.00079
