CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      987.890   289.840    64.963     3.100    31.380     0.288  9000.000  9000.000   290.850   309.830     0.00791
 0.4      976.370   289.020    65.846     3.100    31.750     0.577  9000.000  9000.000   291.000   309.520     0.00769
 0.5      964.900   288.050    68.000     3.000    31.091     0.857  9000.000  9000.000   291.000   309.230     0.00755
 0.6      953.620   287.190    72.600     3.100    32.508     1.148  9000.000  9000.000   291.100   309.790     0.00771
 0.7      942.340   286.410    69.000     3.000    31.836     1.430  9000.000  9000.000   291.300   308.430     0.00704
 0.8      931.180   285.730    71.000     2.919    31.348     1.705  9000.000  9000.000   291.590   308.710     0.00701
