CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19990911 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.600
Integrated O3 until EOF (DU)     : 286.025
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000   9000.000 9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      991.620   287.670    52.900     3.079     31.050    0.288    -5.481     3.853   288.360   301.710     0.00557
 0.4      979.900   286.780    55.333     3.020     30.819    0.572    -5.816     4.072   288.450   301.820     0.00556
 0.5      968.280   285.690    58.000     3.000     30.983    0.855    -6.275     4.394   288.330   301.570     0.00549
 0.6      956.760   284.810    62.000     2.956     30.900    1.134    -6.993     4.896   288.420   301.990     0.00560
 0.7      945.330   283.780    66.000     2.900     30.677    1.409    -8.286     4.979   288.360   302.060     0.00563
 0.8      934.130   282.870    70.833     2.898     31.027    1.685    -8.340     5.178   288.410   302.440     0.00575
 0.9      922.890   281.850    75.100     2.888     31.293    1.961    -8.484     4.492   288.370   302.470     0.00576
 1.0      911.800   280.950    79.000     2.840     31.147    2.233    -9.121     2.274   288.440   302.610     0.00576
 1.1      900.840   279.990    82.000     2.830     31.415    2.505    -7.921     2.122   288.440   302.420     0.00567
 1.2      889.890   279.030    84.000     2.840     31.914    2.779    -7.047     2.847   288.460   302.080     0.00550
 1.3      879.100   278.030    90.000     2.790     31.737    3.050    -6.442     2.473   288.430   302.250     0.00556
 1.4      868.370   277.450    89.667     2.770     31.899    3.318    -6.003     1.912   288.830   302.270     0.00538
 1.5      857.800   276.650    83.500     2.735     31.884    3.585    -5.723     1.534   289.000   301.020     0.00479
 1.6      847.370   282.090     1.000     2.965     34.986    3.868    -5.457     1.260   295.710   295.980     0.00008
 1.7      837.100   281.780     1.000     3.087     36.873    4.163    -5.053     1.229   296.420   296.690     0.00008
 1.8      827.100   281.250     1.000     3.073     37.154    4.457    -4.518     1.296   296.880   297.140     0.00008
 1.9      817.000   280.950     1.000     3.160     38.678    4.760    -4.562     1.381   297.600   297.870     0.00008
 2.0      807.200   281.450     1.000     3.450     42.740    5.090    -6.237     3.178   299.160   299.440     0.00009
 2.1      797.400   281.050     1.000     3.632     45.554    5.438    -6.000     2.926   299.770   300.050     0.00008
 2.2      787.890   280.950     1.000     3.575     45.374    5.780    -5.523     2.344   300.690   300.980     0.00008
 2.3      778.300   280.610     1.000     3.462     44.488    6.113    -4.948     1.899   301.380   301.670     0.00008
 2.4      768.830   279.850     1.250     3.280     42.663    6.428    -4.604     1.676   301.610   301.950     0.00010
 2.5      759.540   279.150     2.000     3.194     42.049    6.736    -4.481     1.720   301.900   302.380     0.00015
 2.6      750.310   278.640     2.000     3.300     43.982    7.055    -4.768     2.336   302.400   302.880     0.00015
 2.7      741.120   278.050     2.000     3.297     44.493    7.374    -5.109     3.193   302.820   303.290     0.00015
 2.8      732.100   277.750     3.000     3.440     46.988    7.708    -5.362     4.500   303.550   304.220     0.00022
 2.9      723.130   277.150     3.000     3.190     44.114    8.018    -5.488     5.683   303.960   304.620     0.00021
 3.0      714.280   276.550     4.000     2.762     38.668    8.287    -5.288     6.083   304.370   305.190     0.00027
 3.1      705.500   276.060     4.455     2.620     37.137    8.542    -3.546     5.875   304.900   305.800     0.00030
 3.2      696.810   275.440     5.000     2.620     37.600    8.798    -1.493     3.483   305.290   306.260     0.00032
 3.3      688.200   274.880     6.000     2.693     39.136    9.062    -2.071     4.659   305.760   306.880     0.00038
 3.4      679.740   274.870     4.000     2.930     43.105    9.349     1.270     4.125   306.820   307.620     0.00026
 3.5      671.320   274.450     5.600     2.688     40.041    9.613     3.153     2.048   307.440   308.510     0.00035
 3.6      663.060   273.990     4.000     2.562     38.639    9.865     2.529     1.758   308.010   308.800     0.00025
 3.7      654.770   273.250     3.000     2.467     37.672   10.108     3.653     3.214   308.280   308.890     0.00018
 3.8      646.640   272.480     2.300     2.400     37.115   10.345     5.247     3.954   308.510   309.000     0.00013
 3.9      638.580   271.950     1.000     2.628     41.154   10.605     3.936     5.071   309.010   309.300     0.00006
 4.0      630.580   271.550     1.000     2.739     43.440   10.877     0.298     3.201   309.660   309.960     0.00005
 4.1      622.750   271.050     1.000     3.155     50.662   11.190    -1.009     3.351   310.200   310.490     0.00005
 4.2      614.960   270.520     1.000     3.243     52.735   11.513     1.044     4.089   310.700   311.000     0.00005
 4.3      607.190   269.920     1.000     3.253     53.575   11.838     1.628     6.530   311.140   311.430     0.00005
