#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-02-07,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number 
ECC,6A,na

#LOCATION
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP
UTCOffset,Date,Time 
+00:00:00,2020-02-07,23:34:29
 
#PROFILE
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1012.4,1.2,24.6,73.0,117.0,5.0,49.9
1011.5,1.2,23.7,75.9,126.4,3.5,55.1
1011.2,1.2,23.5,76.4,133.8,3.0,59.8
1010.9,1.2,23.4,76.8,137.0,2.9,64.2
1010.3,1.2,23.3,76.8,137.2,3.1,69.2
1009.5,1.2,23.2,76.5,136.5,3.3,75.0
1008.7,1.2,23.2,76.3,135.9,3.5,80.8
1008.2,1.2,23.1,76.2,135.5,3.7,86.0
1007.8,1.2,23.0,76.2,135.3,3.8,90.9
1007.2,1.2,23.0,76.3,135.1,4.0,95.9
1006.4,1.2,23.0,76.3,134.9,4.1,101.2
1005.9,1.2,22.9,76.3,134.6,4.3,106.3
1005.3,1.2,22.9,76.4,134.4,4.4,111.4
1004.8,1.2,22.9,76.5,134.2,4.5,116.7
1004.1,1.2,22.8,76.8,134.0,4.6,122.0
1003.4,1.2,22.7,77.1,133.9,4.8,127.0
1003.0,1.2,22.6,77.3,133.7,4.9,131.5
1002.5,1.2,22.6,77.7,133.6,5.0,135.7
1002.1,1.2,22.6,77.8,133.6,5.1,140.2
1001.5,1.2,22.5,77.7,133.6,5.2,145.4
1000.7,1.2,22.5,77.7,133.6,5.2,151.5
1000.0,1.2,22.5,77.9,133.7,5.3,157.7
999.3,1.2,22.3,78.3,133.7,5.4,163.6
998.6,1.2,22.2,78.6,133.9,5.4,168.7
998.2,1.2,22.2,78.9,134.0,5.5,173.2
997.8,1.2,22.2,79.1,134.2,5.5,177.8
997.1,1.2,22.1,79.5,134.5,5.6,183.3
996.3,1.2,22.1,79.6,134.7,5.6,189.3
995.7,1.2,22.1,79.5,135.1,5.6,195.3
995.0,1.2,22.0,79.1,135.4,5.6,201.1
994.4,1.2,22.0,78.8,135.8,5.7,206.4
993.9,1.2,21.8,78.9,136.2,5.7,211.3
993.4,1.2,21.7,79.4,136.6,5.7,216.0
992.8,1.2,21.7,80.2,137.0,5.7,220.8
992.2,1.2,21.6,80.8,137.5,5.7,225.8
991.6,1.2,21.5,81.1,137.9,5.7,230.8
991.1,1.2,21.4,81.1,138.3,5.7,235.6
990.5,1.2,21.4,81.1,138.7,5.7,240.1
990.1,1.2,21.4,81.6,139.0,5.6,244.3
989.7,1.2,21.3,81.9,139.4,5.6,248.3
989.2,1.2,21.3,82.5,139.7,5.6,252.5
988.6,1.2,21.3,83.0,139.9,5.5,257.1
988.0,1.2,21.3,83.1,140.2,5.5,261.9
987.6,1.2,21.3,83.1,140.4,5.4,266.7
987.0,1.2,21.2,83.3,140.6,5.4,271.7
986.4,1.2,21.2,83.6,140.7,5.3,277.2
985.7,1.2,21.1,83.9,140.9,5.2,283.2
984.9,1.2,21.0,84.2,140.9,5.2,289.7
984.2,1.2,20.9,84.4,141.0,5.1,296.2
983.5,1.2,20.9,84.5,141.0,5.0,302.5
982.8,1.2,20.8,84.7,140.9,4.9,308.5
982.2,1.2,20.7,84.7,140.9,4.8,314.1
981.6,1.2,20.7,84.6,140.8,4.7,319.4
981.0,1.2,20.7,84.6,140.8,4.6,324.5
980.4,1.2,20.6,84.6,140.7,4.5,329.7
979.8,1.2,20.6,84.7,140.7,4.4,335.3
979.1,1.2,20.5,84.8,140.6,4.3,341.3
978.4,1.2,20.5,85.0,140.7,4.2,347.2
977.8,1.2,20.4,85.2,140.8,4.1,352.7
977.2,1.2,20.4,85.3,141.0,4.0,357.8
976.7,1.2,20.3,85.5,141.3,3.8,362.8
976.1,1.2,20.3,86.1,141.7,3.7,367.9
975.5,1.2,20.2,87.1,142.3,3.6,373.2
974.9,1.2,20.2,87.6,143.1,3.5,378.2
974.4,1.3,20.1,87.8,144.0,3.4,382.9
973.9,1.2,20.1,88.0,145.2,3.2,387.5
973.3,1.2,20.0,88.5,146.5,3.1,392.7
972.7,1.2,20.0,88.9,148.1,3.0,398.5
971.9,1.2,19.9,89.0,149.9,2.9,404.8
971.2,1.2,19.9,88.9,152.1,2.8,411.3
970.5,1.2,19.8,88.6,154.6,2.7,417.9
969.7,1.2,19.7,88.7,157.4,2.6,424.5
969.0,1.3,19.7,88.9,160.4,2.5,431.5
968.2,1.3,19.7,89.2,163.7,2.5,438.7
967.3,1.2,19.6,89.3,167.0,2.4,446.2
966.4,1.2,19.5,89.5,170.4,2.4,453.3
965.7,1.2,19.5,89.6,173.7,2.4,459.8
965.1,1.2,19.5,89.7,176.9,2.4,465.5
964.6,1.2,19.4,90.2,179.9,2.4,470.7
964.0,1.2,19.4,90.5,182.5,2.5,476.0
963.4,1.2,19.3,90.3,184.9,2.5,481.5
962.7,1.2,19.3,89.8,186.9,2.6,487.5
962.0,1.2,19.3,88.9,188.5,2.6,493.6
961.3,1.2,19.3,87.3,189.7,2.7,499.9
960.6,1.2,19.4,86.3,190.6,2.8,506.5
959.8,1.2,19.4,86.3,191.2,2.9,513.6
958.9,1.2,19.3,87.1,191.5,2.9,520.7
958.1,1.2,19.2,87.8,191.5,3.0,527.6
957.5,1.2,19.1,87.9,191.3,3.1,533.9
956.9,1.3,19.1,87.8,190.9,3.2,539.8
956.2,1.3,19.0,87.9,190.4,3.3,546.2
955.4,1.3,19.0,88.5,189.7,3.3,553.1
954.6,1.3,18.9,89.0,188.9,3.4,560.2
953.8,1.3,18.9,89.3,188.0,3.5,567.4
953.0,1.3,18.9,89.7,187.1,3.5,574.3
952.3,1.3,18.8,89.9,186.2,3.6,581.4
951.5,1.3,18.7,89.8,185.4,3.7,588.6
950.6,1.2,18.7,90.2,184.5,3.7,596.0
949.8,1.2,18.6,90.9,183.7,3.8,603.0
949.1,1.2,18.5,91.4,182.9,3.9,609.6
948.4,1.2,18.4,91.3,182.1,3.9,615.6
947.9,1.2,18.4,91.0,181.4,3.9,621.3
947.2,1.2,18.3,90.8,180.8,4.0,627.3
946.5,1.2,18.3,91.2,180.3,4.0,633.7
945.7,1.2,18.2,92.0,179.9,4.0,640.5
944.9,1.2,18.1,93.2,179.5,4.0,647.6
944.2,1.2,18.0,94.2,179.1,4.0,654.4
943.5,1.2,17.9,94.6,178.8,4.0,661.0
942.8,1.2,17.8,94.5,178.6,4.0,667.5
942.0,1.2,17.7,94.5,178.3,4.0,673.9
941.3,1.3,17.7,94.7,178.1,3.9,680.4
940.6,1.3,17.6,95.2,178.0,3.9,687.2
939.9,1.3,17.6,95.9,177.9,3.9,694.6
938.9,1.3,17.5,96.5,177.8,3.8,702.8
937.9,1.3,17.4,97.0,177.7,3.8,711.4
937.0,1.3,17.3,97.2,177.6,3.7,719.8
936.2,1.3,17.3,97.2,177.6,3.7,727.5
935.4,1.3,17.2,96.9,177.5,3.6,734.4
934.8,1.3,17.2,96.8,177.4,3.5,740.7
934.1,1.2,17.1,97.0,177.3,3.5,746.7
933.4,1.2,17.1,97.4,177.3,3.4,752.5
932.9,1.2,17.0,97.7,177.2,3.3,757.8
932.3,1.2,17.0,98.3,177.2,3.3,763.1
931.7,1.2,16.9,98.9,177.2,3.2,768.6
931.1,1.2,16.8,99.2,177.3,3.2,774.4
930.4,1.2,16.8,98.9,177.4,3.1,780.5
929.7,1.2,16.8,98.2,177.5,3.1,786.6
929.1,1.2,16.7,96.9,177.8,3.0,792.1
928.6,1.2,16.7,96.2,178.0,3.0,796.8
928.2,1.2,16.7,95.2,178.4,2.9,800.9
927.8,1.2,16.7,93.2,178.7,2.9,804.7
927.4,1.2,16.7,92.4,179.2,2.8,808.9
926.8,1.2,16.7,93.5,179.7,2.8,813.8
926.2,1.2,16.7,95.4,180.4,2.8,819.0
925.6,1.2,16.6,96.9,181.1,2.7,824.2
925.1,1.2,16.5,97.1,181.9,2.7,829.3
924.6,1.2,16.5,96.8,182.8,2.7,834.1
924.1,1.2,16.4,97.1,183.8,2.6,838.7
923.6,1.2,16.4,98.0,184.8,2.6,843.3
923.1,1.2,16.3,98.6,185.9,2.6,847.7
922.7,1.2,16.3,98.5,187.0,2.6,852.0
922.2,1.2,16.3,98.4,188.1,2.6,856.6
921.6,1.2,16.2,98.6,189.2,2.6,861.4
921.1,1.2,16.2,98.4,190.3,2.6,866.2
920.6,1.2,16.1,98.2,191.4,2.6,870.7
920.2,1.2,16.1,98.2,192.5,2.6,874.9
919.7,1.2,16.1,98.2,193.5,2.6,879.2
919.3,1.2,16.0,98.4,194.6,2.6,884.1
918.6,1.2,16.0,98.7,195.6,2.6,889.8
917.8,1.2,16.0,98.8,196.6,2.6,896.4
917.1,1.2,15.9,98.6,197.5,2.6,903.2
916.4,1.2,15.9,98.3,198.5,2.6,909.7
915.8,1.2,15.8,98.3,199.4,2.7,915.8
915.2,1.2,15.8,98.5,200.3,2.7,921.5
914.6,1.2,15.8,98.7,201.2,2.7,926.8
914.1,1.2,15.8,98.8,202.2,2.7,932.0
913.5,1.2,15.8,98.8,203.2,2.8,937.2
912.9,1.2,15.7,98.8,204.3,2.8,942.5
912.4,1.2,15.7,99.0,205.4,2.8,947.8
911.8,1.2,15.7,99.3,206.7,2.8,953.3
911.2,1.2,15.7,99.3,208.0,2.9,958.8
910.5,1.2,15.7,98.9,209.4,2.9,964.3
910.0,1.2,15.7,98.7,211.0,2.9,969.6
909.5,1.2,15.6,99.1,212.6,2.9,974.9
908.9,1.2,15.6,99.5,214.3,3.0,980.1
908.3,1.2,15.6,99.3,216.1,3.0,985.1
907.9,1.2,15.6,98.8,218.1,3.0,989.9
907.4,1.2,15.6,98.8,220.1,3.0,994.6
906.8,1.2,15.5,99.0,222.2,3.1,999.5
906.3,1.2,15.5,99.0,224.4,3.1,1004.2
905.8,1.2,15.4,99.0,226.7,3.1,1008.7
905.4,1.2,15.4,99.3,228.9,3.2,1013.4
904.9,1.2,15.4,99.8,231.2,3.2,1018.4
904.2,1.2,15.4,100.0,233.4,3.3,1024.0
903.6,1.2,15.3,99.9,235.5,3.4,1029.8
903.0,1.2,15.3,99.4,237.6,3.4,1035.8
902.3,1.2,15.3,99.2,239.5,3.5,1041.7
901.7,1.2,15.3,99.0,241.2,3.6,1047.5
901.1,1.2,15.2,98.7,242.9,3.7,1053.5
900.5,1.2,15.2,98.6,244.3,3.8,1059.6
899.8,1.2,15.2,98.5,245.7,3.9,1065.5
899.2,1.2,15.3,98.3,246.9,4.0,1070.9
898.7,1.2,15.3,97.9,248.0,4.1,1075.7
898.3,1.2,15.3,97.8,249.0,4.2,1080.2
897.8,1.2,15.3,98.0,249.9,4.3,1084.9
897.2,1.2,15.2,98.2,250.6,4.4,1090.1
896.6,1.2,15.1,98.4,251.3,4.5,1095.6
896.1,1.2,15.1,98.5,252.0,4.6,1101.3
895.4,1.2,15.1,98.8,252.6,4.7,1107.2
894.8,1.2,15.2,99.3,253.1,4.8,1113.1
894.2,1.2,15.2,99.2,253.7,4.9,1118.5
893.7,1.2,15.2,98.7,254.3,5.0,1123.6
893.2,1.2,15.2,98.3,254.8,5.1,1128.4
892.7,1.2,15.1,98.3,255.4,5.2,1133.2
892.2,1.2,15.1,98.4,256.1,5.2,1137.9
891.7,1.2,15.1,98.7,256.7,5.3,1142.8
891.2,1.2,15.1,99.2,257.3,5.4,1148.0
890.6,1.2,15.1,99.5,258.0,5.4,1153.3
890.0,1.2,15.0,99.4,258.6,5.5,1158.6
889.4,1.2,15.0,99.1,259.4,5.5,1163.7
889.0,1.2,15.0,98.9,260.1,5.5,1168.5
888.5,1.2,15.0,98.9,260.8,5.6,1173.2
888.0,1.2,14.9,99.0,261.6,5.6,1178.3
887.4,1.2,14.9,99.0,262.3,5.6,1183.6
886.8,1.2,14.9,98.9,263.0,5.6,1189.2
886.2,1.2,14.9,98.7,263.7,5.6,1194.7
885.7,1.2,14.9,98.2,264.4,5.6,1200.1
885.1,1.2,14.9,97.8,264.9,5.6,1205.4
884.6,1.2,14.9,97.8,265.4,5.5,1210.6
884.0,1.2,14.9,98.0,265.9,5.5,1215.8
883.5,1.2,14.8,98.3,266.2,5.4,1220.7
883.0,1.2,14.8,99.1,266.6,5.4,1225.2
882.6,1.2,14.8,99.8,266.8,5.3,1229.4
882.2,1.2,14.8,99.8,267.0,5.3,1233.5
881.8,1.2,14.8,99.4,267.1,5.2,1237.7
881.3,1.2,14.8,99.0,267.2,5.2,1242.1
880.8,1.2,14.7,99.0,267.2,5.1,1246.7
880.4,1.2,14.7,99.0,267.2,5.0,1251.2
879.9,1.2,14.7,98.6,267.2,5.0,1255.6
879.5,1.2,14.7,98.6,267.2,4.9,1259.9
879.0,1.2,14.7,98.6,267.1,4.8,1264.0
878.6,1.2,14.6,97.7,267.1,4.7,1267.7
878.3,1.2,14.4,95.2,267.2,4.7,1270.7
878.0,1.2,14.2,91.9,267.3,4.6,1273.3
877.9,1.2,14.2,93.6,267.4,4.6,1276.0
877.5,1.2,14.1,95.6,267.6,4.5,1279.5
877.0,1.2,13.9,97.6,267.9,4.5,1283.7
876.5,1.2,13.9,96.0,268.3,4.5,1288.0
876.1,1.2,13.8,89.9,268.8,4.4,1292.2
875.7,1.2,13.7,87.3,269.4,4.4,1296.3
875.3,1.2,13.7,91.3,270.0,4.5,1300.5
874.8,1.2,13.6,95.0,270.7,4.5,1304.7
874.4,1.2,13.6,98.5,271.5,4.5,1308.6
874.1,1.2,13.7,99.8,272.3,4.6,1311.9
873.8,1.2,13.6,99.5,273.1,4.6,1315.2
873.4,1.2,14.0,100.0,273.9,4.7,1318.5
873.0,1.2,14.2,99.8,274.7,4.8,1322.0
872.6,1.2,14.1,98.7,275.5,4.9,1325.7
872.2,1.2,14.0,98.2,276.2,5.0,1329.5
871.9,1.2,13.9,97.8,276.9,5.1,1333.7
871.4,1.2,13.6,98.3,277.5,5.2,1338.4
870.8,1.2,13.4,98.9,278.1,5.4,1343.4
870.3,1.2,13.3,98.9,278.7,5.5,1348.6
869.8,1.2,13.3,98.8,279.2,5.7,1353.4
869.3,1.2,13.4,98.5,279.7,5.8,1357.6
869.0,1.2,13.4,97.8,280.2,6.0,1361.1
868.7,1.2,13.4,97.2,280.7,6.1,1364.0
868.4,1.2,13.4,97.0,281.2,6.3,1366.8
868.1,1.2,13.4,97.4,281.6,6.4,1369.7
867.8,1.2,13.4,99.1,282.1,6.6,1372.8
867.5,1.2,13.4,100.0,282.6,6.7,1375.9
867.1,1.2,13.3,99.3,283.2,6.9,1379.0
866.8,1.2,13.3,99.0,283.7,7.0,1382.1
866.5,1.2,13.3,98.9,284.3,7.1,1385.2
866.2,1.2,13.3,98.6,284.9,7.2,1388.6
865.8,1.2,13.2,98.7,285.5,7.3,1392.1
865.4,1.2,13.2,98.8,286.1,7.4,1395.4
865.2,1.2,13.2,99.0,286.7,7.4,1398.3
864.9,1.2,13.2,98.6,287.4,7.5,1400.9
864.7,1.2,13.1,97.3,288.0,7.5,1403.5
864.4,1.2,13.1,95.4,288.6,7.5,1406.2
864.1,1.2,13.1,93.3,289.3,7.5,1409.2
863.7,1.2,13.0,89.0,289.9,7.4,1412.3
863.4,1.2,12.9,86.5,290.5,7.4,1415.5
863.1,1.2,12.8,87.2,291.0,7.3,1418.7
862.8,1.2,12.8,88.6,291.5,7.2,1421.8
862.5,1.2,12.8,89.4,292.0,7.2,1424.8
862.2,1.2,12.8,89.9,292.4,7.0,1427.7
861.9,1.2,12.8,90.4,292.7,6.9,1430.8
861.5,1.2,12.8,90.5,293.0,6.8,1433.9
861.2,1.2,12.8,90.2,293.2,6.6,1437.2
860.8,1.2,12.8,89.7,293.2,6.5,1440.6
860.5,1.2,12.7,89.5,293.2,6.3,1444.1
860.1,1.2,12.7,89.8,293.1,6.1,1447.8
859.7,1.2,12.7,90.2,292.9,5.9,1451.8
859.3,1.2,12.6,90.1,292.5,5.7,1456.0
858.8,1.2,12.6,89.9,292.1,5.5,1460.2
858.4,1.2,12.6,89.8,291.5,5.3,1464.3
858.0,1.2,12.6,90.2,290.8,5.2,1468.3
857.6,1.2,12.6,90.6,290.1,5.0,1472.4
857.2,1.2,12.6,91.1,289.3,4.8,1476.5
856.8,1.2,12.6,91.4,288.4,4.7,1480.7
856.3,1.2,12.6,91.4,287.4,4.5,1484.9
855.9,1.2,12.6,91.2,286.5,4.4,1489.2
855.5,1.2,12.5,91.1,285.5,4.3,1493.3
855.1,1.2,12.5,91.2,284.6,4.2,1497.3
854.7,1.2,12.6,91.7,283.8,4.1,1501.1
854.3,1.2,12.6,92.3,283.1,4.1,1504.6
854.0,1.2,12.6,92.7,282.5,4.0,1507.9
853.7,1.2,12.6,93.1,282.0,4.0,1511.3
853.3,1.2,12.6,93.4,281.7,4.0,1515.0
852.9,1.2,12.6,93.9,281.6,4.0,1519.2
852.4,1.2,12.6,94.4,281.7,4.0,1523.8
851.9,1.2,12.6,94.8,281.9,4.0,1528.8
851.3,1.2,12.6,95.2,282.3,4.1,1534.2
850.7,1.2,12.6,96.0,282.9,4.2,1539.6
850.2,1.2,12.7,96.4,283.5,4.3,1544.6
849.8,1.2,12.9,96.4,284.3,4.4,1549.3
849.4,1.2,13.0,96.0,285.0,4.5,1553.7
848.9,1.2,13.0,95.6,285.8,4.6,1558.0
848.5,1.2,13.1,95.3,286.6,4.8,1562.3
848.1,1.2,13.0,95.1,287.4,4.9,1566.5
847.7,1.2,13.1,95.0,288.1,5.1,1570.5
847.3,1.1,13.1,94.8,288.8,5.2,1574.3
846.9,1.1,13.0,94.9,289.3,5.4,1578.0
846.5,1.1,13.0,95.5,289.9,5.5,1581.5
846.2,1.1,13.0,95.6,290.3,5.7,1585.0
845.9,1.1,12.9,95.1,290.7,5.8,1588.4
845.5,1.1,12.9,94.8,291.0,6.0,1591.8
845.2,1.1,12.9,94.9,291.2,6.1,1594.9
844.9,1.1,12.9,95.0,291.4,6.2,1598.0
844.6,1.1,12.9,94.7,291.5,6.3,1601.0
844.3,1.1,12.8,94.4,291.5,6.4,1604.2
843.9,1.1,12.8,94.3,291.5,6.5,1607.6
843.6,1.1,12.8,94.4,291.5,6.6,1611.2
843.2,1.1,12.7,94.6,291.4,6.6,1614.8
842.9,1.0,12.7,94.8,291.2,6.7,1618.3
842.5,1.0,12.7,95.0,291.1,6.7,1621.8
842.2,1.0,12.7,95.1,290.8,6.7,1625.3
841.8,1.0,12.7,95.3,290.6,6.7,1628.8
841.5,1.0,12.6,95.5,290.3,6.7,1632.4
841.1,1.0,12.6,95.6,290.0,6.7,1636.2
840.7,1.0,12.6,95.7,289.7,6.6,1640.4
840.2,1.0,12.6,95.7,289.3,6.6,1645.1
839.7,1.0,12.5,95.3,289.0,6.5,1650.1
839.2,1.0,12.5,94.7,288.7,6.4,1655.0
838.7,1.0,12.4,94.3,288.3,6.4,1659.6
838.3,1.0,12.4,94.4,288.0,6.3,1663.9
837.9,1.0,12.4,94.9,287.7,6.2,1668.0
