#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-12-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2020-12-19,23:36:11
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1016.3,0.9,21.7,75.0,90.0,5.0,49.9
1015.8,0.9,21.6,73.9,93.9,4.4,53.4
1015.4,0.9,21.7,71.7,95.6,4.3,58.1
1014.8,0.9,21.7,70.8,95.9,4.5,62.9
1014.2,1.0,21.6,70.5,95.4,4.8,67.8
1013.7,1.0,21.6,70.1,94.7,5.2,73.0
1012.9,1.0,21.6,69.9,94.0,5.5,78.3
1012.3,1.0,21.5,70.0,93.4,5.8,83.2
1011.9,1.0,21.5,70.1,92.9,6.2,87.7
1011.4,1.0,21.4,70.2,92.4,6.5,92.3
1010.8,1.0,21.4,69.8,91.9,6.8,97.2
1010.2,1.0,21.3,69.2,91.4,7.1,102.0
1009.7,1.0,21.3,68.6,90.9,7.4,106.1
1009.3,1.0,21.3,68.1,90.4,7.7,109.3
1009.1,1.0,21.3,68.2,90.0,7.9,112.1
1008.9,1.0,21.3,68.4,89.6,8.2,115.5
1008.2,1.0,21.2,69.0,89.2,8.4,119.8
1007.4,1.0,21.2,69.4,88.8,8.6,124.1
1007.2,1.0,21.2,69.3,88.5,8.8,127.4
1007.1,1.0,21.1,69.0,88.1,9.0,129.7
1006.7,1.0,21.2,68.7,87.8,9.1,131.8
1006.6,1.0,21.1,68.9,87.6,9.3,134.0
1006.2,1.0,21.1,69.3,87.3,9.4,136.8
1005.7,1.0,21.1,69.1,87.1,9.5,140.4
1005.3,1.0,21.1,68.9,86.9,9.6,144.4
1004.8,1.0,21.0,68.8,86.8,9.7,148.6
1004.3,1.0,21.0,69.0,86.6,9.7,153.1
1003.7,1.0,21.0,69.1,86.5,9.8,157.9
1003.2,1.0,20.9,69.0,86.5,9.8,162.8
1002.6,1.0,20.9,68.8,86.4,9.8,167.4
1002.1,1.0,20.9,68.8,86.4,9.9,171.4
1001.8,1.0,20.8,69.0,86.3,9.9,174.6
1001.5,1.0,20.8,69.6,86.3,9.9,177.4
1001.2,1.0,20.7,70.4,86.3,9.9,180.3
1000.8,1.0,20.6,70.8,86.3,9.8,183.5
1000.4,1.0,20.6,70.7,86.3,9.8,186.8
1000.0,1.0,20.6,70.5,86.3,9.8,190.4
999.5,1.0,20.5,70.3,86.3,9.8,194.1
999.1,1.0,20.5,70.4,86.3,9.7,198.0
998.6,1.0,20.5,70.9,86.2,9.7,202.1
998.1,1.0,20.5,71.4,86.2,9.7,206.5
997.6,1.0,20.4,71.7,86.1,9.7,211.0
997.1,1.0,20.4,71.8,86.0,9.6,215.4
996.6,1.0,20.3,71.9,85.9,9.6,219.5
996.2,1.0,20.3,72.0,85.7,9.5,223.2
995.8,1.0,20.2,72.0,85.5,9.5,226.8
995.4,1.0,20.2,72.0,85.3,9.5,230.3
995.0,1.0,20.2,72.3,85.1,9.4,233.7
994.6,1.0,20.1,72.5,84.9,9.4,237.2
994.2,1.0,20.1,72.6,84.6,9.4,240.6
993.8,1.0,20.0,72.7,84.3,9.3,243.9
993.4,1.0,20.0,72.9,84.1,9.3,247.2
993.1,1.0,20.0,72.9,83.8,9.3,250.4
992.7,1.0,20.0,72.7,83.5,9.3,253.6
992.3,1.0,19.9,72.3,83.3,9.2,256.9
991.9,1.0,19.9,71.9,83.0,9.2,260.2
991.5,1.0,19.9,72.0,82.8,9.2,263.7
991.1,1.0,19.9,72.6,82.5,9.2,267.3
990.7,1.1,19.8,73.4,82.3,9.2,271.2
990.2,1.1,19.8,73.5,82.1,9.2,275.6
989.6,1.0,19.7,73.0,82.0,9.2,280.4
989.0,1.1,19.7,72.8,81.8,9.2,285.6
988.4,1.1,19.7,72.9,81.7,9.1,291.1
987.7,1.1,19.6,73.0,81.7,9.1,296.5
987.2,1.1,19.5,72.9,81.6,9.1,301.3
986.7,1.1,19.5,72.6,81.6,9.1,305.4
