STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20090220
Launch Time (UTC)                : 23:52
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1008.300	295.750	74.500	1.200	11.901	0.091	9000.000	9000.000	9000.000	9000.000	295.055	328.059	13.29991
0.2	996.817	294.804	78.366	1.200	12.038	0.208	9000.000	9000.000	9000.000	9000.000	295.072	328.256	13.32764
0.3	985.388	293.756	82.176	1.200	12.178	0.326	9000.000	9000.000	9000.000	9000.000	294.990	328.019	13.22059
0.4	974.109	292.824	85.304	1.200	12.319	0.432	9000.000	9000.000	9000.000	9000.000	295.020	327.797	13.07549
0.5	962.878	292.312	83.156	1.200	12.463	0.543	9000.000	9000.000	9000.000	9000.000	295.479	326.867	12.47894
0.6	951.691	291.341	81.068	1.200	12.609	0.649	9000.000	9000.000	9000.000	9000.000	295.479	324.647	11.55639
0.7	940.682	290.461	87.591	1.200	12.757	0.761	9000.000	9000.000	9000.000	9000.000	295.565	325.774	11.92802
0.8	929.791	289.645	90.000	1.200	12.906	0.871	9000.000	9000.000	9000.000	9000.000	295.714	325.587	11.75506
0.9	918.917	289.308	83.292	1.129	12.287	0.979	9000.000	9000.000	9000.000	9000.000	296.362	323.822	10.76811
1.0	908.227	288.677	83.000	1.191	13.113	1.084	9000.000	9000.000	9000.000	9000.000	296.702	323.353	10.41463
1.1	897.567	287.783	82.500	1.200	13.370	1.207	9000.000	9000.000	9000.000	9000.000	296.780	322.131	9.87153
1.2	887.000	287.150	86.000	1.200	13.529	1.321	9000.000	9000.000	9000.000	9000.000	297.127	322.857	9.98436
1.3	876.643	286.436	86.786	1.200	13.689	1.432	9000.000	9000.000	9000.000	9000.000	297.381	322.516	9.71952
1.4	866.235	286.591	79.000	1.200	13.853	1.545	9000.000	9000.000	9000.000	9000.000	298.556	322.045	9.05010
1.5	856.054	285.911	78.536	1.246	14.562	1.663	9000.000	9000.000	9000.000	9000.000	298.853	321.509	8.69845
1.6	845.900	285.293	75.717	1.300	15.368	1.783	9000.000	9000.000	9000.000	9000.000	299.223	320.505	8.14136
1.7	835.900	284.695	74.000	1.400	16.749	1.914	9000.000	9000.000	9000.000	9000.000	299.609	319.897	7.73318
1.8	826.000	284.105	76.340	1.400	16.949	2.046	9000.000	9000.000	9000.000	9000.000	300.003	320.423	7.75581
1.9	816.096	283.461	80.927	1.496	18.336	2.185	9000.000	9000.000	9000.000	9000.000	300.354	321.399	7.96522
2.0	806.300	282.690	85.700	1.500	18.604	2.328	9000.000	9000.000	9000.000	9000.000	300.569	322.042	8.09833
2.1	796.757	282.007	88.857	1.500	18.826	2.467	9000.000	9000.000	9000.000	9000.000	300.861	322.436	8.10795
2.2	787.163	281.299	89.000	1.500	19.056	2.607	9000.000	9000.000	9000.000	9000.000	301.143	322.049	7.82784
