Years,Download_url,Download,Number of Soundings,Size,Last Modified
All years,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1994_to_2014_V01.tgz,rapanui_1994_to_2014_V01.tgz,260,2715K,08 Aug 2016
1994,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1994_V01.tgz,rapanui_1994_V01.tgz,3,30K,08 Aug 2016
1995,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1995_V01.tgz,Rapanui_1995_V01.tgz,25,231K,08 Aug 2016
1996,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1996_V01.tgz,Rapanui_1996_V01.tgz,37,353K,08 Aug 2016
1997,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1997_V01.tgz,Rapanui_1997_V01.tgz,20,204K,08 Aug 2016
1998,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1998_V01.tgz,Rapanui_1998_V01.tgz,8,70K,08 Aug 2016
1999,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_1999_V01.tgz,Rapanui_1999_V01.tgz,22,202K,08 Aug 2016
2000,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2000_V01.tgz,Rapanui_2000_V01.tgz,1,12K,08 Aug 2016
2001,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2001_V01.tgz,Rapanui_2001_V01.tgz,6,56K,08 Aug 2016
2003,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2003_V01.tgz,Rapanui_2003_V01.tgz,3,41K,08 Aug 2016
2004,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2004_V01.tgz,Rapanui_2004_V01.tgz,14,176K,08 Aug 2016
2005,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2005_V01.tgz,Rapanui_2005_V01.tgz,14,170K,08 Aug 2016
2006,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2006_V01.tgz,Rapanui_2006_V01.tgz,6,69K,08 Aug 2016
2007,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2007_V01.tgz,Rapanui_2007_V01.tgz,12,126K,08 Aug 2016
2008,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2008_V01.tgz,Rapanui_2008_V01.tgz,6,62K,08 Aug 2016
2009,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2009_V01.tgz,Rapanui_2009_V01.tgz,18,163K,08 Aug 2016
2010,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2010_V01.tgz,Rapanui_2010_V01.tgz,14,155K,08 Aug 2016
2012,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2012_V01.tgz,Rapanui_2012_V01.tgz,9,88K,08 Aug 2016
2013,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2013_V01.tgz,Rapanui_2013_V01.tgz,19,198K,08 Aug 2016
2014,http://www.cr2.cl/wp-content/uploads/ozone/V01/rapanui/rapanui_2014_V01.tgz,Rapanui_2014_V01.tgz,23,248K,08 Aug 2016
2015,,,-,-,-
2016,,,-,-,-
2017,,,-,-,-
2018,,,-,-,-
2019,,,-,-,-
2020,,,-,-,-
